wife_age,wife_education,husband_education,children,wife_religion,wife_working,husband_ocupation,living,media_exposure,target
0.8878788,1.1,1.1,0.45,1.0,1.0,0.53333336,0.7666667,0.0,0
0.6151515,1.0,1.0,0.25,1.0,1.0,0.7666667,1.0,1.0,0
0.82727265,1.0,1.0,0.14375,1.0,1.0,0.23333333,1.0,1.0,0
0.58787876,0.7666667,1.1,0.2875,1.0,1.0,0.73333335,0.7666667,0.0,0
0.9787879,0.7666667,1.1,0.20625,1.0,1.0,0.5666667,1.0,0.0,0
0.43333328,1.1,1.1,0.225,1.0,1.0,0.6,0.7666667,0.0,0
0.9787879,0.93333334,1.0,0.51875,1.0,1.0,0.5666667,1.0,0.0,0
0.75757575,0.7666667,1.1,0.4375,1.0,1.0,0.7666667,0.93333334,1.0,0
0.8181818,1.1,1.1,0.35,1.0,1.0,0.6,0.7666667,0.0,0
0.6666667,0.7666667,1.0,0.20625,1.0,1.0,0.23333333,1.1,0.0,0
0.5939394,1.1,1.1,0.2875,1.0,1.0,0.5666667,0.7666667,0.0,0
0.8363636,0.7666667,1.0,0.2375,1.0,1.0,0.6,0.8,0.0,0
0.43333328,1.1,1.1,0.3375,1.0,1.0,0.7666667,0.8666667,0.0,0
0.7151515,1.1,1.1,0.4,1.0,1.0,0.6,1.1,0.0,0
0.5242424,1.1,1.1,0.2875,1.0,1.0,0.6666667,0.7666667,0.0,0
0.43333328,1.1,1.1,0.325,1.0,1.0,0.7666667,0.7666667,0.0,0
0.9484848,1.1,1.1,0.475,1.0,1.0,0.53333336,0.7666667,0.0,0
0.5848484,1.1,1.1,0.3875,1.0,1.0,0.5666667,0.7666667,0.0,0
0.43333328,0.8,1.1,0.2625,1.0,1.0,0.5666667,1.1,0.0,0
0.5242424,1.1,1.1,0.20625,1.0,1.0,0.6666667,1.1,0.0,0
0.8878788,1.1,1.1,0.26875,1.0,1.0,0.46666667,0.7666667,0.0,0
0.74848485,0.90000004,0.90000004,0.35,1.0,1.0,0.46666667,0.90000004,0.0,0
0.49393934,1.1,1.1,0.3,1.0,1.0,0.6666667,0.7666667,0.0,0
0.809091,0.90000004,0.90000004,0.33125,1.0,1.0,0.53333336,0.90000004,0.0,0
0.839394,0.90000004,0.90000004,0.16875,1.0,1.0,0.4333333,0.90000004,0.0,0
0.6848485,1.0,1.0,0.26875,1.0,1.0,0.5666667,1.0,0.0,0
0.8575758,0.7666667,1.1,0.14375,1.0,1.0,0.53333336,1.1,1.0,0
0.58181816,1.1,1.1,0.25,1.0,1.0,0.46666667,1.1,0.0,0
0.9484848,1.0,1.0,0.26875,1.0,1.0,0.46666667,0.93333334,0.0,0
0.9484848,0.93333334,1.0,0.45625,1.0,1.0,0.46666667,0.93333334,1.0,0
0.5666667,0.90000004,1.0,0.3,1.0,1.0,0.4333333,0.90000004,0.0,0
0.49393934,0.73333335,1.1,0.26875,1.0,1.0,0.5666667,0.93333334,0.0,0
0.8878788,0.73333335,1.1,0.33125,1.0,1.0,0.6666667,1.0,1.0,0
0.5272727,1.0,1.0,0.14375,1.0,1.0,0.7666667,1.0,0.0,0
0.5030303,0.8666667,1.0,0.20625,1.0,1.0,0.6,0.93333334,1.0,0
0.43333328,1.1,1.1,0.3375,1.0,1.0,0.6,1.1,0.0,0
0.8575758,0.93333334,1.0,0.225,1.0,1.0,0.46666667,0.7666667,0.0,0
0.73636365,0.7666667,1.0,0.3875,1.0,1.0,0.7666667,0.7666667,0.0,0
0.5545454,1.1,1.1,0.26875,1.0,1.0,0.6666667,0.7666667,0.0,0
0.6454545,0.7666667,1.1,0.375,1.0,1.0,0.46666667,1.1,0.0,0
1.0,0.7666667,1.1,0.33125,1.0,1.0,0.46666667,1.1,0.0,0
0.58181816,1.1,1.1,0.25,1.0,1.0,0.46666667,1.1,0.0,0
0.6,1.1,1.1,0.3,1.0,1.0,0.23333333,1.1,0.0,0
0.72121215,0.7666667,1.1,0.375,1.0,1.0,0.23333333,1.1,0.0,0
0.9484848,1.1,1.1,0.26875,1.0,1.0,0.53333336,1.1,0.0,0
1.0,1.0,1.0,0.51875,1.0,1.0,0.5666667,0.8666667,0.0,0
0.53333336,0.8666667,1.1,0.275,1.0,1.0,0.23333333,1.1,0.0,0
0.57575756,0.7666667,1.0,0.275,1.0,1.0,0.7666667,1.1,0.0,0
0.6787879,0.7666667,1.0,0.3125,1.0,1.0,0.7666667,0.73333335,0.0,0
0.49393934,0.6666667,1.1,0.2375,1.0,1.0,0.7666667,1.1,0.0,0
0.8181818,1.1,1.1,0.35,1.0,1.0,0.6,0.7666667,0.0,0
0.43333328,0.8,1.1,0.26875,1.0,1.0,0.6,1.1,0.0,0
0.8878788,0.73333335,1.1,0.25,1.0,1.0,0.23333333,1.1,0.0,0
1.0,0.8666667,1.0,0.64375,1.0,1.0,0.23333333,1.1,0.0,0
0.5363636,0.90000004,1.0,0.3125,1.0,1.0,0.6666667,0.90000004,0.0,0
0.6666667,0.8666667,1.1,0.3,1.0,1.0,0.23333333,1.0,0.0,0
0.79696965,0.73333335,1.0,0.76875,1.0,1.0,0.5666667,0.7666667,0.0,0
0.9787879,0.8,1.0,0.20625,1.0,1.0,1.1,0.7666667,0.0,0
0.5848484,0.7666667,1.1,0.33125,1.0,1.0,0.23333333,1.0,0.0,0
0.5242424,0.8,1.0,0.25,1.0,1.0,0.7666667,1.1,0.0,0
0.58181816,0.93333334,1.1,0.2625,1.0,1.0,0.7666667,1.0,0.0,0
0.6151515,0.93333334,1.0,0.26875,1.0,1.0,0.7666667,1.0,1.0,0
0.58787876,0.7666667,1.0,0.2625,1.0,1.0,0.7666667,0.8666667,0.0,0
0.6666667,0.7666667,1.0,0.20625,1.0,1.0,0.5666667,0.93333334,0.0,0
