Position,Oral,Written,Combine,Race_B,Race_H,Race_W,target
1.0,0.34380487,0.8714285,0.6542367,0.0,0.0,1.0,1
1.0,0.7096585,0.6061224,0.6478369,1.0,0.0,1.0,1
1.0,0.39258543,0.810204,0.63717055,1.0,0.0,1.0,1
1.0,0.7666342,0.5448979,0.6343545,1.0,0.0,1.0,1
1.0,0.644683,0.6265305,0.6322212,0.0,0.0,1.0,1
1.0,0.43317083,0.74897945,0.61652017,0.0,0.0,1.0,1
1.0,0.9047804,0.66530615,0.6051712,0.0,0.0,1.0,1
1.0,0.48195115,0.687755,0.5994538,1.0,0.0,1.0,1
1.0,0.72585356,0.48367336,0.57812095,0.0,0.0,1.0,1
1.0,0.5795121,0.56530607,0.5653213,1.0,0.0,1.0,1
1.0,0.49834147,0.6061224,0.5554229,0.0,0.0,1.0,1
1.0,0.53802925,0.5755102,0.35130975,1.0,1.0,1.0,0
1.0,0.7073561,0.59591836,0.3292943,1.0,1.0,0.0,0
1.0,0.5870439,0.6122449,0.3257104,1.0,1.0,1.0,0
1.0,0.56101465,0.55714285,0.5287823,0.0,1.0,1.0,0
1.0,0.56101465,0.43469396,0.5329124,0.0,1.0,1.0,0
1.0,0.55129755,0.5510204,0.58081746,1.0,0.0,1.0,0
1.0,0.6407024,0.63673466,0.55663455,1.0,0.0,0.0,0
1.0,0.58310246,0.43469396,0.54001194,1.0,1.0,1.0,0
1.0,0.3799024,0.5795918,0.5493984,1.0,1.0,1.0,0
1.0,0.5849756,0.45510212,0.57298404,0.0,1.0,0.0,0
1.0,0.39609757,0.54285717,0.5231675,1.0,0.0,0.0,0
1.0,0.339317,0.66938776,0.5949825,0.0,1.0,1.0,0
