V1,V2,V3,V4,V5,target
0.47823238,0.43069935,0.38071382,0.27787477,0.38064346,0
0.39690715,0.4248476,0.51830685,0.68446416,0.4181235,0
0.6283719,0.4294561,0.57148147,0.5350756,0.4174081,0
0.3988708,0.36136872,0.8235958,0.5468581,0.2776593,0
0.4037761,0.4109284,0.8438431,0.54404014,0.3898024,0
0.42844564,0.40217683,0.3932385,0.42653665,0.26249376,0
0.78150374,0.39254764,0.7218768,0.6240235,0.2468583,0
0.42049795,0.39106348,0.72509927,0.5861902,0.43113053,0
0.38989902,0.49429506,0.43766382,0.46519637,0.363939,0
0.45971793,0.5207967,0.40561968,0.7335615,0.55002743,1
0.5206548,0.33003733,0.4747449,0.4844578,0.49253544,1
0.3740088,0.4621399,0.58591527,0.6720572,0.80616647,1
0.4391546,0.7578464,0.37915704,0.4866286,0.2776593,1
0.44552618,0.6534095,0.5830671,0.5353079,0.24254389,1
0.5075621,0.4562952,0.51756084,0.7734081,0.25794294,0
0.44393075,0.53197044,0.5261252,0.44953328,0.24711384,0
0.42470908,0.5222358,0.6834914,0.6538339,0.27676615,0
0.49297985,0.6677161,0.51040184,0.67768955,0.3178461,0
0.4425288,0.67549175,0.65166533,0.3208153,0.32209334,1
0.4054351,0.42620778,0.7094181,0.5221129,0.48799884,0
0.37326306,0.31692263,0.68138635,0.54241663,0.5484785,0
0.4440889,0.6402975,0.5905294,0.61464536,0.24681775,0
0.3964442,0.53706616,0.7140161,0.6999141,0.27676007,1
0.44405276,0.5628641,0.5481887,0.46112275,0.25279278,0
0.45608792,0.43414474,0.8080552,0.4294415,0.36046413,1
0.47372943,0.59026456,0.5565238,0.49817118,0.42677534,0
0.4594411,0.6697617,0.7145524,0.2535701,0.24636234,0
0.36892194,0.32979223,0.50297683,0.56521285,0.363939,0
0.46462706,0.62248,0.63560003,0.4307328,0.2776593,0
0.5547526,0.6676636,0.5314573,0.3485016,0.24289721,0
0.42325434,0.48398486,0.5738211,0.6446339,0.24134101,0
0.35980684,0.31690025,0.44589967,0.3564662,0.5053677,0
0.4367098,0.6443904,0.42036593,0.47751883,0.32731268,0
