sepal_length,sepal_width,petal_length, petal_width,target
0.23529412,0.33333328,0.3033708,0.27084574,0
0.41176462,0.4583334,0.1355932,0.24999999,0
0.35294116,0.74999994,0.1355932,0.125,0
0.44117653,0.7916667,0.118644066,0.16666666,0
0.26470578,0.33333328,0.33307862,0.30264625,0
0.2941177,0.37500003,0.34148255,0.316652,0
0.44117653,0.50000006,0.10169489,0.16666666,0
0.26470578,0.33333328,0.33307862,0.30264625,0
0.11764695,0.29166666,0.20584309,0.1614381,0
0.32352948,0.4583334,0.24154592,0.16666666,0
0.26470578,0.041666728,0.48220706,0.42721093,1
0.26470578,0.041666728,0.48220706,0.42721093,1
0.35294116,0.41666666,0.37959427,0.36245823,1
0.41176462,0.41666666,0.6440678,0.7217436,1
0.23529412,0.5416667,0.5096965,0.7083333,1
0.41176462,0.7083333,0.6440678,0.74999994,1
0.7941177,0.5833333,0.6779661,0.7083333,1
0.5,-1.9868216e-08,0.6271186,0.53494734,1
0.2941177,0.5416667,0.4817912,0.62499994,1
0.26470578,0.08333335,0.460903,0.40941596,1
1.0,0.45833328,0.81355935,0.625,2
1.0588236,0.87499994,0.8644067,0.6666667,2
0.7058823,0.45833328,0.7288136,0.75,2
0.5,0.45833328,0.6440678,0.45833334,2
0.61764705,0.3749999,0.7288136,0.7537605,2
1.0588236,0.5416667,0.81355935,0.7916666,2
0.6764705,0.7083333,0.7288136,0.8333334,2
0.7058823,0.5833333,0.71186435,0.5833333,2
0.41176462,0.5416667,0.59322035,0.5833333,2
0.85294104,0.5833333,0.69491524,0.7083333,2
