Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,target
0.69883025,0.3312369,0.4647947,0.43814424,0.35543472,0.50500304,1.003672,0.92452836,0.34423622,0.42273536,0.71038795,0.43223444,1.2184995,0
0.6520468,0.27044025,0.40506935,0.36597934,0.4097826,0.55749136,0.8077994,0.92452836,0.2527621,0.53526086,0.724642,0.5604395,1.2895626,0
0.39181295,0.27044025,0.25926867,0.10824743,0.23586953,0.46554336,1.007872,0.6415094,0.3148528,0.54384094,0.7292414,0.49084255,2.0638142,0
0.61988294,0.25366879,0.3583211,0.35567012,0.2576087,0.40766552,0.6545961,0.735849,0.13316853,0.4040479,0.6635357,0.6593407,1.3505161,0
0.6169592,0.27463314,0.41855147,0.19072166,0.44239122,0.9059234,0.8635097,0.92452836,0.4490139,0.5260785,0.9006663,0.6190477,1.5245761,0
0.60233915,0.3060797,-0.21720894,0.35051546,0.4858696,0.6418466,1.0214648,1.0566038,0.4629317,0.48672447,0.8207504,0.49816856,0.7822396,0
0.593567,0.25786164,-0.5073768,0.31443295,0.5184782,0.45993027,0.6295265,0.7169811,0.48439243,0.41739428,0.7224437,0.5970697,0.5575606,0
0.54093564,0.27044025,0.5745883,0.52577317,0.4967391,0.5853659,0.5961003,0.6981132,0.46609867,0.37682244,0.6289666,0.53479856,0.60035664,0
0.7339183,0.26415095,-0.4711344,0.30927828,0.5184782,0.6689896,0.6573816,0.8113208,0.52698195,0.43872115,0.7925323,0.63736266,0.49336663,0
0.46198812,0.32075474,0.36060297,0.33505145,0.3445652,0.49210814,0.9710547,0.9056604,0.25483978,0.5025327,0.693993,0.46520147,1.4595834,0
0.5877193,0.20754717,0.42135167,0.3298969,0.4097826,0.50949216,1.0387245,0.6792453,0.407541,0.5721687,0.68133515,0.47619048,1.3645892,0
-0.023391815,0.22431864,0.30355316,0.5773196,0.16630441,0.5220868,0.6180247,1.3018868,0.41009462,-0.01387717,0.7059571,0.47619048,0.9780004,1
0.20760241,0.21593292,0.3339485,0.5412371,0.17717397,0.24390247,0.26740947,0.88679254,-0.027376585,0.049802158,0.5923384,0.64468867,0.89163035,1
0.38304105,0.24528302,0.49778286,0.62886596,0.4163044,0.49849024,0.8269305,0.9622642,0.2614617,0.31945273,0.59422517,0.5091576,0.5635826,1
0.48538008,0.6268344,0.27906242,0.2938144,0.11195654,0.39611143,1.1270796,1.1320755,0.18513782,0.7148389,0.64539087,0.20146522,1.8423111,1
0.26023403,0.6268344,0.28592837,0.44845358,0.18804353,0.2508711,0.27855155,1.018868,-0.08121412,0.1949976,0.564359,0.54212457,1.1776611,1
0.09941521,0.41090152,0.4141371,0.49999997,0.28586966,0.56446,0.5988858,0.92452836,0.16641065,0.12402192,0.6238608,0.6666668,0.79743165,1
0.13157883,0.3375262,1.1666666,0.9381443,0.53586966,0.662021,1.2367688,1.2075472,0.36593062,-0.033763103,0.58043855,0.7765568,0.13359486,1
0.38304105,0.836478,0.89784944,0.83505154,0.35108703,0.3205575,0.41504183,1.1320755,-0.51378757,0.5509207,0.14432988,0.56776553,0.5050034,1
0.56725156,1.1236898,0.2064295,0.5773196,0.17717397,0.46689895,0.5598886,0.88679254,-0.34020546,0.67454714,-0.051546395,0.5604395,1.1234021,1
0.22222224,0.8113208,0.16844471,0.55154634,0.13369566,0.5505227,0.66573817,0.7169811,-0.322067,0.44387728,-0.030927837,0.75824183,1.1327507,1
0.2807018,0.36058703,0.3960027,0.55154634,0.16630441,0.45993027,0.5598886,1.018868,0.060012765,0.1848537,0.6158479,0.6263737,0.8268296,1
0.38596478,0.2285115,0.4327887,0.5773196,0.17717397,0.5036857,0.85294,1.0566038,0.21190733,0.35943604,0.6337588,0.46520147,0.84273267,1
0.19883052,0.35429773,0.92473114,0.9381443,0.24239129,0.5711755,0.66085225,1.4150944,0.33123028,0.21220884,0.50564605,0.31868133,0.21096681,1
0.368421,0.24947588,0.6666666,0.73195875,0.1989131,0.54764843,0.7865078,1.0754716,0.21870424,0.34649575,0.55425775,0.44322345,0.45638418,1
0.2719299,0.8092243,0.12196363,0.6030928,0.11195654,0.3100772,1.0691657,1.1132076,-0.36076403,0.63233024,0.010309309,0.36630037,1.4535995,1
0.6695906,0.87211746,0.96774185,0.7577319,0.45978266,0.46572366,1.1778902,0.83018863,0.06677727,0.6269982,-0.11340207,0.12820515,1.4292854,2
0.31871334,0.5429769,0.3615248,0.44845358,0.28586966,0.33491313,1.1178881,1.0754716,0.32027805,0.67037517,0.5521611,0.09523806,1.3478968,2
0.48538008,0.40880504,0.3707632,0.4742268,0.17717397,0.16216196,1.3257904,1.226415,-0.022082021,0.90687144,0.55114466,0.021978052,1.5457703,2
