V1,V2,V3,V4,V5,target
0.38480666,0.4744547,0.50059503,0.51672614,0.43851766,0
0.3801887,0.3717065,0.8258626,0.7006202,0.5119501,0
0.55513614,0.5582358,0.23850591,0.2809756,0.2924554,0
0.46396473,0.37158617,0.54591584,0.75315577,0.27063704,0
0.7178636,0.36082035,0.37811375,0.41156507,0.4153138,0
0.37075663,0.622931,0.6115383,0.54869556,0.35775548,0
0.37375867,0.4217181,0.80710286,0.58843106,0.27063704,0
0.62550944,0.5022139,0.56377864,0.362314,0.3280237,0
0.63447636,0.47639614,0.2510738,0.3324457,0.2565857,0
0.4503883,0.36700174,0.5640639,0.7671519,0.5031061,0
0.4636466,0.31235868,0.5929571,0.77727216,0.27063704,0
0.64812374,0.5253261,0.3176795,0.33154362,0.38416487,0
0.39612305,0.43793225,0.7782597,0.56614774,0.27063704,0
0.65280944,0.5253002,0.31130925,0.3447352,0.25449848,0
0.3890796,0.5101731,0.60199285,0.38524204,0.33377266,0
0.6092362,0.30674794,0.26305652,0.32284242,0.26048583,0
0.38339382,0.34632003,0.5660898,0.8621308,0.55912733,0
0.59896934,0.51488215,0.5023749,0.39287037,0.23661043,0
0.4417043,0.72857314,0.5083417,0.27111053,0.33928058,0
0.82955074,0.43573684,0.25781286,0.32578513,0.37499437,0
0.4063284,0.5523157,0.56508285,0.2671809,0.334557,0
0.429419,0.76685035,0.51761746,0.48579866,0.42666504,0
0.51226044,0.45370921,0.49769944,0.56827503,0.27063704,0
0.38362303,0.407579,0.8616719,0.6380818,0.3844883,0
0.36337095,0.41683626,0.44610396,0.49362275,0.35775548,0
0.41759732,0.75485206,0.5573784,0.4775926,0.31306067,0
0.45485556,0.40638912,0.86822015,0.5835375,0.31134254,0
0.52050376,0.4799934,0.542853,0.37144697,0.4476837,0
0.4044097,0.4456755,0.89085174,0.5993056,0.3528298,0
0.35442758,0.3265303,0.46312842,0.7339405,0.7319527,0
0.9222197,0.37976876,0.31942248,0.33351144,0.25569373,0
0.6841336,0.44642037,0.32562622,0.45161563,0.2558677,0
0.35475823,0.56523335,0.5161006,0.5105739,0.35775548,0
0.33437952,0.55045193,0.7208065,0.53865504,0.53548414,0
0.6032968,0.62050235,0.43967846,0.34712446,0.29933253,0
0.42113978,0.66608,0.7318918,0.5496068,0.34872627,0
0.41310495,0.5159155,0.5969706,0.46929458,0.3334801,0
0.4533391,0.37834105,0.6566127,0.6376986,0.27063704,0
0.5179565,0.45346156,0.48758018,0.56541914,0.27063704,0
0.3700496,0.37213627,0.43119776,0.8010478,0.56805915,0
0.3602176,0.68564844,0.53635824,0.2694313,0.46893594,0
0.67052764,0.45208776,0.32750934,0.45475227,0.25507954,0
0.44666547,0.5454621,0.52907676,0.28357372,0.37945947,0
0.37899607,0.41384193,0.75463897,0.5848468,0.27063704,0
0.8584503,0.3426931,0.25085166,0.3300114,0.28653586,0
0.3702099,0.36362916,0.7855356,0.6367941,0.41002455,0
0.9567264,0.374028,0.25209928,0.32511637,0.25708356,0
0.63402694,0.3473547,0.46946084,0.3634118,0.4978847,0
0.39353088,0.4183785,0.63436794,0.5407318,0.39772642,0
0.40178218,0.44121155,0.57854277,0.28507492,0.38033313,0
0.8531291,0.29950532,0.30937183,0.29206458,0.2626381,0
0.3910319,0.34110096,0.7252193,0.26590994,0.26633358,0
0.45438212,0.5531638,0.54923993,0.4793581,0.38640252,0
0.3715535,0.67171365,0.54797834,0.5066607,0.53528494,0
0.5854948,0.47463056,0.37835157,0.48557246,0.27063704,0
0.4080713,0.42324343,0.7140866,0.75100553,0.46264097,0
0.39319313,0.38853174,0.8665368,0.6462236,0.38629842,0
0.375654,0.43006516,0.5584652,0.6177665,0.45224547,0
0.4222209,0.62829095,0.5244106,0.51438373,0.5279446,0
0.45947483,0.588252,0.544681,0.4790405,0.24106814,0
0.45427638,0.47719467,0.5823316,0.6071132,0.23284256,0
0.5989245,0.498358,0.23948018,0.33090547,0.25463843,0
0.62383413,0.5059171,0.4912577,0.4051586,0.3185741,0
0.43916243,0.62480265,0.5361281,0.2676751,0.31057474,0
0.35771343,0.39336985,0.50611705,0.542434,0.8408899,0
0.4588178,0.69603133,0.7205358,0.36753172,0.22709027,0
0.42785373,0.39875212,0.567766,0.28127515,0.3808207,0
0.3931461,0.422952,0.79017127,0.59642446,0.38153216,0
0.41498375,0.67445195,0.56138116,0.270491,0.24645352,0
0.38489124,0.4257676,0.74190724,0.65242404,0.49674356,0
0.9391303,0.40915498,0.3385765,0.2927796,0.24946828,0
0.37044337,0.39520547,0.6261212,0.6151042,0.35775548,0
0.57853,0.7601748,0.5622347,0.2643406,0.23676884,0
0.3659865,0.35135767,0.49289954,0.7554516,0.72641855,0
0.37855273,0.51752853,0.4177625,0.48229426,0.32989487,0
0.41479224,0.5941129,0.52394694,0.75034565,0.24892245,0
0.37900212,0.3699429,0.7343483,0.63831913,0.35775548,0
0.3992486,0.68947804,0.5895568,0.38442782,0.23363505,0
0.42327455,0.36902094,0.5782849,0.7629012,0.50346774,0
0.40863013,0.45912755,0.8449757,0.58581066,0.356606,0
0.47073296,0.5829009,0.52239656,0.26280558,0.30717146,0
0.3752845,0.4237897,0.6382932,0.6248306,0.43570074,0
0.35801068,0.3377641,0.4640977,0.6169166,0.7682181,0
0.56842864,0.6607396,0.3932041,0.36908767,0.5439946,0
0.3176282,0.29912347,0.7385169,0.6740136,0.26626658,0
0.4115046,0.7717002,0.550386,0.61216456,0.3012323,0
0.43591562,0.732637,0.7109545,0.5204191,0.2226571,0
0.35172465,0.5974125,0.53582984,0.53251946,0.5583729,0
0.43842024,0.32949495,0.37102312,0.43403485,0.3429966,0
0.5716213,0.67066085,0.46842372,0.35104862,0.24145785,0
0.7543935,0.37555432,0.6792687,0.42591804,0.23753795,0
0.36154273,0.38161734,0.5923161,0.69513935,0.35775548,0
0.36275992,0.39364606,0.47509775,0.7881192,0.55119556,1
0.40819567,0.744081,0.5472587,0.5441384,0.35775548,0
0.883024,0.4033819,0.25215322,0.34675503,0.25450516,0
0.4243752,0.5145662,0.57242656,0.2831658,0.29585215,0
0.86094207,0.41670993,0.25671187,0.32855985,0.37621024,0
0.3928295,0.4626218,0.7724708,0.5928103,0.37870416,1
0.49852705,0.45140958,0.43764833,0.56559885,0.5490505,1
0.48865834,0.6771575,0.7273676,0.5512988,0.22585987,1
0.3980434,0.44444004,0.6320604,0.6414113,0.47888428,0
0.57560617,0.42825168,0.4652675,0.28716806,0.25887445,0
0.41068715,0.36081567,0.35228628,0.44133556,0.38712415,0
0.41632307,0.40425012,0.4972343,0.57561266,0.35775548,1
0.38409787,0.47727892,0.6234335,0.4684928,0.3342001,0
0.5584219,0.3653028,0.38665408,0.5554174,0.6115795,1
0.5022868,0.6877782,0.64367855,0.5013678,0.22624783,1
0.43433997,0.82791805,0.646546,0.56104964,0.3578002,0
0.29154265,0.5608777,0.7732766,0.5695874,0.5539713,0
0.35904285,0.35488832,0.4762639,0.75496763,0.5411892,1
0.7740026,0.37513557,0.63874537,0.41573706,0.24492748,0
0.39640814,0.4787494,0.7780903,0.68665814,0.41694495,0
0.42720115,0.4829965,0.5923809,0.50185126,0.51716286,0
0.32275042,0.40073407,0.8868417,0.69204414,0.4449974,1
0.39634517,0.81205094,0.5682003,0.4966733,0.29867116,0
0.39677823,0.471247,0.6824274,0.5613195,0.44413856,1
0.6726285,0.4607308,0.25132275,0.3332949,0.29085577,0
0.47087893,0.58196235,0.5473637,0.43794227,0.31003273,0
0.6804794,0.35952783,0.74352443,0.472906,0.233748,0
0.4247273,0.5445211,0.534851,0.4793884,0.41764408,0
0.3548338,0.3569411,0.3939959,0.7682375,0.35775548,0
0.32797953,0.3691127,0.55577976,0.70130914,0.504001,0
0.57673067,0.51520413,0.4281605,0.39616045,0.37558213,0
0.5113439,0.7718224,0.61391413,0.5253917,0.22819203,1
0.41969678,0.5475525,0.58666706,0.4671277,0.33260092,0
0.6663104,0.28050548,0.502616,0.7011395,0.45131046,0
0.649801,0.305099,0.25963786,0.33662656,0.25764084,0
0.35289186,0.29354393,0.7408181,0.6637144,0.2582132,1
0.38062614,0.4575463,0.58842045,0.52427036,0.51664346,1
0.3337409,0.800869,0.6095515,0.5083805,0.3174378,0
0.56806487,0.38732663,0.45467833,0.50729614,0.39363715,1
0.31673384,0.3787327,0.76432526,0.7208678,0.5468856,1
0.50297946,0.482069,0.5266628,0.51959807,0.27063704,1
0.43930024,0.39906737,0.468668,0.2865294,0.37722343,0
0.40966752,0.5755189,0.64250124,0.33252743,0.32124907,0
0.40016234,0.50852185,0.6382313,0.55886656,0.48089483,1
0.5672715,0.51155496,0.38160065,0.4389881,0.25209314,0
0.4231691,0.34243688,0.47036684,0.74267554,0.6165861,1
0.5984114,0.544736,0.42071772,0.34222886,0.22256882,0
0.55371886,0.56953824,0.47342333,0.2795806,0.2970718,0
0.8306597,0.2452732,0.3599596,0.6364612,0.4272922,0
0.41201848,0.51921785,0.42958364,0.5141173,0.38982454,0
0.37699914,0.42031917,0.561314,0.6240453,0.45474795,0
