Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,target
0.69883025,0.3312369,0.65129435,0.43814424,0.35543472,0.51219517,0.6350975,0.92452836,0.5268139,0.42273536,0.29896912,0.43223444,0.5575606,0
0.6520468,0.27044025,0.7218738,0.36597934,0.4097826,0.55749136,0.8077994,0.92452836,0.43217665,0.66252214,0.35051546,0.5604395,0.70021397,0
0.39181295,0.27044025,0.530807,0.34483114,0.23586953,0.50174224,0.7325905,0.40145972,0.6940063,0.51154524,0.35051546,0.49084255,0.62175465,0
0.61988294,0.29151657,0.50537634,0.35567012,0.2576087,0.40766552,0.6545961,0.33309183,0.49842268,0.3694494,0.4742268,0.6593407,0.7037803,0
0.6169592,0.27463314,0.40860227,0.39037588,0.44239122,0.9059234,0.8635097,0.92452836,0.36593062,0.4982238,0.23711339,0.6190477,0.6502853,0
0.60233915,0.3060797,0.54838717,0.35051546,0.4858696,0.5993032,0.5988858,1.0566038,0.30599368,0.43161634,0.36082473,0.49816856,0.7822396,0
0.593567,0.25786164,0.6317833,0.49428025,0.5184782,0.45993027,0.6295265,0.4143272,0.28706625,0.3916519,0.14432988,0.5970697,0.5575606,0
0.54093564,0.27044025,0.43010762,0.52577317,0.4967391,0.5853659,0.5961003,0.39502627,0.5488959,0.42717585,0.20618555,0.53479856,0.60035664,0
0.7339183,0.26415095,0.6385762,0.5253847,0.5184782,0.6689896,0.6573816,0.40961802,0.41640377,0.43872115,0.16494843,0.63736266,0.49336663,0
0.46198812,0.32075474,0.54838717,0.40950492,0.3445652,0.5993032,0.7214485,0.9056604,0.29968452,0.40497336,0.29896912,0.46520147,0.7073466,0
0.5877193,0.5204904,0.45161298,0.3633276,0.4097826,0.738676,0.8440111,0.37402853,0.41955835,0.47602132,0.11340204,0.47619048,0.71804565,0
0.23146714,0.43214953,0.61290324,0.5773196,0.354877,0.41114983,0.4261839,1.3018868,0.41009462,-0.29969758,0.958763,0.47619048,0.09222539,1
0.5039731,0.62845737,0.5,0.5412371,0.17717397,0.24390247,0.26740947,0.88679254,0.25867507,0.13849303,0.17525771,0.64468867,0.15499286,1
0.38304105,0.6059965,0.6075269,0.62886596,0.4163044,0.2508711,0.4038997,0.9622642,0.28391165,0.15275806,0.28865978,0.5091576,0.10078669,1
0.48538008,0.6268344,0.4946237,0.5741048,0.119037166,0.26930287,0.16991642,1.1320755,0.3294431,0.1740675,-0.08247423,0.20146522,-0.0009190634,1
0.54369205,0.6268344,0.50537634,0.44845358,0.18804353,0.2508711,0.27855155,1.018868,0.36593062,0.21267235,0.15463915,0.54212457,0.20420827,1
0.582612,0.41090152,0.7311828,0.49999997,0.28586966,0.56446,0.5988858,0.92452836,0.35331228,0.16074601,0.020618528,0.6666668,0.24771754,1
0.7514633,0.3375262,1.1666666,0.9381443,0.53586966,0.662021,1.2367688,1.2075472,0.36593062,0.40497336,0.15463915,0.7765568,0.13359486,1
0.38304105,0.836478,0.89784944,0.83505154,0.35108703,0.3205575,0.41504183,1.1320755,0.31545743,0.14431688,0.14432988,0.56776553,-0.03623064,1
0.56725156,1.1236898,0.57526886,0.5773196,0.17129698,0.46689895,0.5598886,0.88679254,0.41009462,0.10301953,-0.051546395,0.5604395,0.07296719,1
0.6175484,0.8113208,0.7150538,0.55154634,0.29043508,0.5505227,0.66573817,0.69745827,0.6940063,0.1207815,-0.030927837,0.75824183,0.09561955,1
0.2807018,0.36058703,0.5967742,0.55154634,0.1750774,0.45993027,0.5598886,1.018868,0.20189275,0.11722913,0.0824742,0.6263737,0.13338138,1
0.38596478,0.80283993,0.6612903,0.5773196,0.14003572,0.50871086,0.69916433,1.0566038,0.33438486,0.22202486,-0.09278351,0.46520147,0.10692625,1
0.48111752,0.35429773,0.92473114,0.9381443,0.24239129,0.29616728,0.4456825,1.4150944,0.33123028,0.13854352,0.19587633,0.31868133,0.13430811,1
0.368421,0.6909002,0.6666666,0.73195875,0.1989131,0.32752618,0.5041783,1.0754716,0.37539434,0.20805642,0.11340204,0.44322345,0.033991344,1
0.2719299,0.8092243,0.70967746,0.6030928,0.2584976,0.28571424,0.3091922,1.1132076,0.2970768,0.31573176,0.010309309,0.36630037,0.21562053,1
0.6695906,0.87211746,0.96774185,0.7577319,0.45978266,0.24390247,0.089136496,0.83018863,0.21147488,0.6269982,-0.11340207,0.12820515,0.25128385,2
0.31871334,0.5429769,0.6774193,0.44845358,0.28586966,0.2621296,0.17666556,1.0754716,0.34405878,0.36056843,0.4146405,0.09523806,0.16569187,2
0.48538008,0.40880504,0.65591395,0.4742268,0.17717397,0.20083332,0.002902541,1.226415,0.3560181,0.75133204,0.19747375,-0.2338511,0.13716118,2
0.8918129,0.43396226,0.76344085,0.49999997,0.23152179,0.36724058,0.24957469,1.1509434,0.4408842,0.73357016,0.20551518,0.022142552,0.27268186,2
0.760234,1.0922432,0.74731183,0.52577317,0.27500004,0.33772728,0.2076022,1.3018868,0.353573,0.5559502,0.17223866,-0.07845675,0.32974318,2
0.6695906,0.7274633,0.76344085,0.6546391,0.35108703,0.18118468,0.07030153,1.1320755,0.2208202,0.5204263,-0.08247423,0.10075669,0.3368759,2
0.45614043,0.6792453,0.6309322,0.49999997,0.54021734,0.22337565,0.01024941,1.1320755,0.20189275,0.7246891,0.29855847,-0.21496879,0.39707562,2
0.42690054,0.45073375,0.6536412,0.49999997,0.54021734,0.1838572,-0.01753359,1.3207546,0.23659308,0.6447602,0.4082913,-0.25406632,0.40064195,2
0.883041,0.7672956,0.9032258,0.73195875,0.28586966,0.2682927,0.03342619,1.3773586,0.20189275,0.6891652,0.1116083,-0.14096725,0.2013552,2
