,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,softImpute,acute-inflammations,5,0.363,0.19
1,softImpute,acute-inflammations,20,0.333,0.066
2,softImpute,acute-inflammations,40,0.356,0.03
3,softImpute,autism-adolescent,5,0.665,0.101
4,softImpute,autism-adolescent,20,0.532,0.051
5,softImpute,autism-adolescent,40,0.489,0.076
6,softImpute,autism-adult,5,0.499,0.05
7,softImpute,autism-adult,20,0.419,0.035
8,softImpute,autism-adult,40,0.469,0.026
9,softImpute,autism-child,5,0.56,0.088
10,softImpute,autism-child,20,0.579,0.041
11,softImpute,autism-child,40,0.55,0.049
12,softImpute,bank-marketing,5,0.329,0.028
13,softImpute,bank-marketing,20,0.324,0.013
14,softImpute,bank-marketing,40,0.338,0.016
15,softImpute,bc-coimbra,5,0.184,0.038
16,softImpute,bc-coimbra,20,0.172,0.064
17,softImpute,bc-coimbra,40,0.161,0.052
18,softImpute,blood-transfusion,5,0.036,0.017
19,softImpute,blood-transfusion,20,0.052,0.04
20,softImpute,blood-transfusion,40,0.068,0.016
21,softImpute,contraceptive-methods,5,0.511,0.035
22,softImpute,contraceptive-methods,20,0.481,0.034
23,softImpute,contraceptive-methods,40,0.37,0.026
24,softImpute,diabetic,5,0.211,0.028
25,softImpute,diabetic,20,0.234,0.048
26,softImpute,diabetic,40,0.255,0.05
27,softImpute,echocardiogram,5,0.3,0.118
28,softImpute,echocardiogram,20,0.304,0.087
29,softImpute,echocardiogram,40,0.276,0.047
30,softImpute,fertility,5,0.306,0.083
31,softImpute,fertility,20,0.362,0.061
32,softImpute,fertility,40,0.337,0.053
33,softImpute,german-credit,5,0.287,0.025
34,softImpute,german-credit,20,0.316,0.029
35,softImpute,german-credit,40,0.308,0.014
