Position,Oral,Written,Combine,Race_B,Race_H,Race_W,target
1.0,0.6697807026937576,0.3436289927921457,0.4305861750371935,1.0,0.0,1.0,1
1.0,0.5837030840171772,0.5213758066527369,0.4542018776959555,0.0,0.0,1.0,1
1.0,0.5833109521768671,0.5199838408621134,0.4535261160450279,0.0,0.0,1.0,1
1.0,0.34746653354260404,0.48819607499464246,0.33364791141305056,0.0,1.0,1.0,1
1.0,0.36523385042936,0.4911491950330413,0.3428775949649621,0.0,1.0,1.0,1
1.0,0.565976263745126,0.5097589516066211,0.4419083629558087,0.0,0.0,1.0,1
1.0,0.5555592520401994,0.5070895120564126,0.4361632435775713,0.0,0.0,1.0,1
1.0,0.3428479996222769,0.48460306435907285,0.3302434608037686,0.0,1.0,1.0,1
1.0,0.5761827577738264,0.5157349906991391,0.44873302903123147,0.0,0.0,1.0,1
1.0,0.5974202229124336,0.49824753229249774,0.452287597061299,0.0,0.0,1.0,1
1.0,0.5833880622138311,0.537923497831828,0.4599443697626779,0.0,0.0,1.0,1
1.0,0.5568555407991467,0.46973079569081566,0.4234681050589814,0.0,0.0,1.0,0
1.0,0.49308251578625395,0.5370702742644092,0.41806962069494,0.0,0.0,1.0,0
0.0,0.003428954137493206,0.2837234367668,0.10252454459396156,0.0,1.0,0.0,0
1.0,0.4410638412323291,0.42717341143968846,0.35502314319765055,0.0,0.0,1.0,0
0.0,0.37270884755439404,0.07286038228717173,0.19749550317191528,1.0,0.0,0.0,0
1.0,0.4096669479626911,0.38439514384931794,0.3253498283151579,0.0,0.0,1.0,0
0.0,0.3905080350849641,0.08848432586475073,0.21124801485262124,1.0,0.0,1.0,0
0.0,0.15761596486729335,0.29622967037385245,0.17795246255591476,0.0,1.0,0.0,0
1.0,0.4756844520838803,0.1768437774392414,0.28189549678383935,1.0,0.0,1.0,0
0.0,-0.10799108180356354,0.17811164637984467,0.013657881108140616,0.0,1.0,0.0,0
1.0,0.658518794516844,0.3581972328648193,0.43058511689448753,1.0,0.0,1.0,0
1.0,0.6522283460731694,0.4196623657724674,0.44955807861888725,1.0,0.0,1.0,0
